"lockmass","ppm"
207.0298985799,6.06174709196979e-06
207.1026685799,7.16427147597013e-06
209.0455485799,7.14802210438592e-06
209.0819335799,6.74512792272879e-06
211.0611985799,6.76762330100157e-06
211.0975835799,6.73006083680495e-06
213.0768485799,6.46603382624714e-06
221.0819335799,6.92179755965688e-06
221.1183185799,7.50698435294505e-06
223.0975835799,7.17952799344891e-06
225.1496185799,7.05845517822185e-06
233.1547035799,7.92839832154644e-06
239.1288835799,8.30810885988031e-06
249.1496185799,8.26046865986694e-06
251.1288835799,9.11809133016273e-06
253.1445335799,8.66468916084493e-06
255.2329535799,8.69396184587438e-06
269.1394485799,8.92833794622508e-06
277.1809185799,9.08175517109942e-06
283.2642535799,9.23923998622953e-06
293.1758335799,8.78056369145504e-06
