mz,minintensity,sampleID,,mz,minintensity,sampleID,,mz,minintensity,sampleID
126.903,103999.0234,1,,126.903,91409.83594,3,,126.903,66196.14063,4
126.904,103999.0234,1,,126.904,91409.83594,3,,126.904,66196.14063,4
127.887,113711.7969,1,,127.887,103456.4141,3,,205.159,84745.8125,4
127.888,113711.7969,1,,127.888,103456.4141,3,,227.201,95222.05469,4
129.883,18160.03125,1,,157.122,58943.625,3,,255.233,198818.8281,4
227.201,87968.17969,1,,241.217,54384.82422,3,,283.264,52801.67969,4
205.1589,100000,1,,253.217,44141.85938,3,,302.11,3245.736572,4
,,,,255.233,232552.2188,3,,326.11,17347.7207,4
mz,minintensity,sampleID,,276.094,7361.690918,3,,350.11,7879.529297,4
126.903,101339.5391,2,,283.264,55351.07422,3,,,,
126.904,101339.5391,2,,302.11,11499.75977,3,,165.0188,,
127.887,109105.4766,2,,326.11,26374.39453,3,,179.0345,,
127.888,109105.4766,2,,,,,,181.0137,,
129.883,14690.8623,2,,179.0345,,,,181.0499,,
227.201,95677.96875,2,,205.1589,,,,183.0656,,
205.1589,80000,2,,221.0817,,,,184.9907,,
,,,,,,,,185.0272,,
,,,,,,,,195.0293,,
,,,,,,,,197.0814,,
,,,,,,,,199.0606,,
,,,,,,,,199.0971,,
,,,,,,,,205.05,,
,,,,,,,,205.1589,,
,,,,,,,,207.0295,,
,,,,,,,,207.0659,,
,,,,,,,,209.0088,,
,,,,,,,,209.0453,,
,,,,,,,,209.0816,,
,,,,,,,,211.0244,,
,,,,,,,,211.0605,,
,,,,,,,,211.097,,
,,,,,,,,213.0763,,
,,,,,,,,214.9651,,
,,,,,,,,218.4587,,
,,,,,,,,218.4599,,
,,,,,,,,218.5623,,
,,,,,,,,218.5852,,
,,,,,,,,218.5863,,
,,,,,,,,218.5897,,
,,,,,,,,218.6415,,
,,,,,,,,218.6639,,
,,,,,,,,218.6869,,
,,,,,,,,218.7331,,
,,,,,,,,218.7553,,
,,,,,,,,218.8332,,
,,,,,,,,218.836,,
,,,,,,,,218.8572,,
,,,,,,,,218.8593,,
,,,,,,,,218.8631,,
,,,,,,,,218.9702,,
,,,,,,,,218.9758,,
,,,,,,,,219.0296,,
,,,,,,,,219.0661,,
,,,,,,,,219.0727,,
,,,,,,,,219.0973,,
,,,,,,,,219.1018,,
,,,,,,,,219.2133,,
,,,,,,,,219.2368,,
,,,,,,,,221.0089,,
,,,,,,,,221.0453,,
,,,,,,,,221.0817,,
,,,,,,,,223.0243,,
,,,,,,,,223.0609,,
,,,,,,,,223.0974,,
