mz,mzmin,mzmax,rt,rtmin,rtmax,into,intb,maxo,sn,sample
100.0153687,100.0153122,100.0154266,84.0715,78.7878,90.8398,202204.6744,197539.4352,32098.39453,35,1
100.0153747,100.0153275,100.0153885,74.7909,68.0904,78.7878,121057.3341,117330.5388,27454.48828,29,1
100.0391468,100.0391235,100.0391693,73.4959,68.0904,78.7878,777235.856,737300.9886,111622.375,42,1
100.0471055,100.047081,100.047142,109.087,103.29,112.024,49639.79491,49631.06091,7449.690918,6257,1
100.0472505,100.0472336,100.0472565,74.7909,69.4534,88.1191,2101366.243,2101347.577,199012.9531,199012,1
100.9247234,100.9246979,100.9247894,1779.63,1776.82,1783.78,9371.964891,9366.396891,2100.822266,2100,1
100.9511452,100.9510727,100.9513016,551.88,547.939,555.717,418808.5925,418802.1108,138294.5625,138294,1
100.9512943,100.9512482,100.9513855,245.434,240.865,251.379,44392.26162,44383.24962,7592.751465,7592,1
100.9662342,100.9660797,100.9663162,7.89124,0.323114,15.2736,69501.99671,69487.04622,6726.24707,6725,1
100.9662457,100.9661484,100.9663544,30.0915,27.251,37.4038,52011.33993,51999.73673,6908.500488,6908,1
100.9662646,100.9662094,100.9663467,47.6245,37.4038,53.4416,70927.85393,70910.35815,6319.260742,6318,1
100.9663567,100.9662933,100.9663773,59.3244,53.4416,63.7664,39034.89037,39024.56557,5293.819336,5293,1
101.0231794,101.0231781,101.0231857,74.7909,69.4534,78.7878,3602595.064,3447946.121,854037.875,73,1
101.0231927,101.0231781,101.0232086,82.7537,78.7878,89.4777,5014731.473,4840392.386,772254.9375,66,1
101.0417845,101.0417252,101.0418777,712.106,706.86,714.612,135544.8063,135538.3463,28127.87305,28127,1
101.0481427,101.0480957,101.0481796,90.8398,86.8193,94.8964,59269.53073,59260.10744,10484.2959,10483,1
101.0481663,101.0481339,101.0481949,77.5303,70.8255,89.4777,390449.2726,390430.6204,36939.24219,36938,1
101.9590648,101.9590149,101.9591522,597.285,594.563,601.115,240619.4871,240614.2455,86999.97656,86999,1
102.0132552,102.0132141,102.0133896,437.625,433.214,440.444,13398.51315,13392.72915,4571.493164,4570,1
102.0184333,102.018425,102.0184402,74.7909,69.4534,78.7878,20313148.4,20269401.48,3674847,448,1
102.0184336,102.018425,102.0184402,81.4574,65.1628,106.084,76723951.64,76550548.11,3958186,482,1
102.030993,102.030899,102.0311127,78.7878,66.5575,106.084,958723.2133,944446.4583,48882.74219,49,1
102.0310283,102.0309448,102.0311127,84.0715,78.7878,89.4777,466557.8747,461892.3387,48882.74219,49,1
103.0024277,103.002388,103.002449,74.7909,69.4534,78.7878,694331.3014,627263.7807,217607.125,49,1
103.0024402,103.0024109,103.002449,82.7537,78.7878,88.1191,1269591.644,1202546.397,397636.7813,91,1
103.0154243,103.0153885,103.0154572,81.4574,78.7878,86.8193,91413.03363,91403.66355,17933.9043,17933,1
103.0154362,103.015419,103.0154648,90.8398,86.8193,97.7155,101119.6024,101107.3441,13119.65234,13119,1
103.0154414,103.0153198,103.0154877,99.0977,97.7155,104.695,30752.51638,30745.53688,8187.365723,8186,1
103.0154979,103.0154419,103.0155334,74.7909,72.296,78.7878,48173.93419,48167.44239,16895.82617,16895,1
103.0195882,103.0195618,103.0196457,69.4534,65.1628,72.296,44621.16975,44615.46319,13782.44434,13781,1
103.0210507,103.0210037,103.02108,437.625,431.597,443.467,181161.9097,168287.0083,47644.06641,27,1
103.0217705,103.0217438,103.0217972,74.7909,69.4534,78.7878,734436.5132,728519.937,146751.9375,155,1
103.0217768,103.021759,103.0217896,82.7537,78.7878,92.1839,1565663.055,1556322.877,152602.2969,161,1
103.0388193,103.0388107,103.0388336,81.4574,66.5575,93.5269,16195088.26,15880301.25,1555108.75,160,1
103.038821,103.0388107,103.0388336,74.7909,69.4534,78.7878,6007159.876,5888573.559,1487381.875,153,1
103.0752422,103.0751648,103.0753174,73.4959,68.0904,78.7878,170973.988,156410.9549,45020.77344,25,1
103.9620728,103.962059,103.9620895,546.652,544.107,550.487,723977.1292,723355.1861,203699.5,287,1
104.0163399,104.0163116,104.0163498,248.422,243.956,254.5,182986.0907,181270.1563,24223.51563,76,1
104.0163415,104.0163269,104.0163498,240.865,234.759,243.956,157087.6335,155559.7286,24896.46484,78,1
104.0226768,104.0226364,104.0227127,82.7537,78.7878,86.8193,224421.726,222944.7898,28587.31055,73,1
104.0226929,104.0226135,104.0227661,74.7909,70.8255,78.7878,120292.7067,119037.6689,24610.24414,63,1
104.0241728,104.0241089,104.0242004,1646.37,1640.9,1651.85,439512.9246,418482.7879,95141.10938,18,1
104.0421476,104.0420761,104.0421829,82.7537,78.7878,88.1191,369896.2599,364158.5394,67509.5,77,1
104.0421523,104.0420914,104.0422287,74.7909,69.4534,78.7878,259134.9906,254112.8173,64366.82813,73,1
104.0704416,104.0703659,104.0704956,70.8255,66.5575,73.4959,13407.785,13402.23428,2824.436523,2823,1
104.9462105,104.946167,104.9462967,508.977,502.317,511.547,195663.3809,193798.7864,47935.95313,58,1
105.0160521,105.0159912,105.0162277,70.8255,63.7664,74.7909,139961.5478,137408.6125,21351.00195,16,1
105.0181019,105.0180969,105.0181046,82.7537,78.7878,88.1191,2903182.05,2864366.542,765086.0625,150,1
105.0181043,105.0180969,105.0181198,74.7909,69.4534,78.7878,1650261.007,1611432.603,477999.8125,93,1
105.0181204,105.018074,105.0181885,1782.44,1778.2,1785.08,12033.15611,12027.65211,3215.254395,3214,1
105.0244602,105.0242767,105.0246658,1215.17,1212.59,1219.05,265454.9256,262058.7472,65379.28906,27,1
105.0251585,105.0250778,105.0252609,1323.52,1319.54,1326.16,23449.77355,23444.47755,5964.959473,5964,1
105.0364019,105.0362701,105.036499,831.525,826.471,837.836,92931164.68,89672263.07,20229384,93,1
105.0364031,105.0363159,105.0365067,886.907,880.449,892.006,48857119.99,43940654.25,13956999,34,1
