mz,sn,,mz,sn,,,,mzmin,mzmax,rt,rtmin,rtmax,into,intb,maxo,,sample
100.0103792,1582,,100.0153687,35,49.88922039,#N/A,,100.0103607,100.0104141,62.3624,57.8986,65.1628,8396.184755,8390.373395,1582.934692,,1
100.0148952,34,,100.0153747,29,4.793471181,4.793471181,,100.0148544,100.0149612,84.0715,78.7878,90.8398,202204.6744,196619.8145,32098.39453,,1
100.0149164,29,,100.0391468,42,242.2671039,#N/A,,100.0148621,100.0149231,74.7909,68.0904,78.7878,121057.3341,116595.9059,27454.48828,,1
100.0386869,42,,100.0471055,6257,84.15397183,#N/A,,100.0386734,100.0387039,73.4959,68.0904,78.7878,777235.856,723150.3939,111622.375,,1
100.0467274,6257,,100.0472505,199012,5.227759962,5.227759962,,100.0467072,100.0467529,109.087,103.29,112.024,49639.79491,49631.06091,7449.690918,,1
100.0467897,199012,,100.9247234,2100,8775.231157,#N/A,,100.0467758,100.0467987,74.7909,69.4534,88.1191,2101366.243,2101347.577,199012.9531,,1
100.9507568,138294,,100.9511452,138294,3.847874929,3.847874929,,100.9506836,100.9508209,551.88,547.939,555.717,418808.5925,418802.1108,138294.5625,,1
100.9508045,7592,,100.9512943,7592,4.851611936,4.851611936,,100.9507675,100.9508972,245.434,240.865,251.379,44392.26162,44383.24962,7592.751465,,1
100.9657913,6725,,100.9662342,6725,4.386893288,4.386893288,,100.9657364,100.9658127,7.89124,0.323114,15.2736,76062.56854,76046.123,6726.24707,,1
100.9658244,6908,,100.9662457,6908,4.172732432,4.172732432,,100.9657516,100.9658508,30.0915,27.251,37.4038,52011.33993,51999.73673,6908.500488,,1
100.9658406,6318,,100.9662646,6318,4.198570648,4.198570648,,100.9657974,100.9658813,47.6245,37.4038,53.4416,70927.85393,70910.35815,6319.260742,,1
100.965864,5293,,100.9663567,5293,4.878983027,4.878983027,,100.9658203,100.965889,59.3244,53.4416,63.7664,39034.89037,39024.56557,5293.819336,,1
101.0227131,56,,101.0231794,73,4.616274746,4.616274746,,101.0227051,101.0227203,74.7909,69.4534,78.7878,3602595.064,3229320.997,854037.875,,1
101.0227138,51,,101.0231927,66,4.74009741,4.74009741,,101.0227051,101.0227203,82.7537,78.7878,89.4777,5014731.473,4593931.572,772254.9375,,1
101.0413,28127,,101.0417845,28127,4.794972768,4.794972768,,101.0413,101.0414,712.106,706.86,714.612,135544.8,135538.3,28127.87,,1
101.0476566,10483,,101.0481427,10483,4.811125469,4.811125469,,101.0476379,101.0476837,90.8398,86.8193,94.8964,59269.53073,59260.10744,10484.2959,,1
101.0476958,36938,,101.0481663,36938,4.655498674,4.655498674,,101.0476685,101.0477295,77.5303,70.8255,89.4777,390449.2726,390430.6204,36939.24219,,1
101.9585861,86999,,101.9590648,86999,4.69521147,4.69521147,,101.9585419,101.9586792,597.285,594.563,601.115,240619.4871,240614.2455,86999.97656,,1
102.0128009,4570,,102.0132552,4570,4.453394398,4.453394398,,102.0127335,102.0129089,437.625,433.214,440.444,13398.51315,13392.72915,4571.493164,,1
102.0179,335,,102.0184333,448,5.227260912,5.227260912,,102.0179,102.018,81.4574,65.1628,106.084,76723952,76547430,3958186,,1
102.018,311,,102.0184336,482,4.250238183,4.250238183,,102.018,102.018,74.7909,69.4534,78.7878,20313148,20268615,3674847,,1
102.0305186,121,,102.030993,49,4.649861998,4.649861998,,102.0304337,102.0306396,81.4574,66.5575,106.084,972669.7666,965720.4196,48882.74219,,1
102.0305406,121,,102.0310283,49,4.779905715,4.779905715,,102.0304489,102.0306396,84.0715,78.7878,89.4777,466557.8747,464367.9874,48882.74219,,1
103.0019509,96,,103.0024277,49,4.628835948,4.628835948,,103.0019379,103.0019531,82.7537,78.7878,88.1191,1269591.644,1201920.954,397636.7813,,1
103.0019544,52,,103.0024402,91,4.716684618,4.716684618,,103.0019073,103.0019684,74.7909,69.4534,78.7878,694331.3014,626638.1293,217607.125,,1
103.0149392,78,,103.0154243,17933,4.709850872,4.709850872,,103.0148926,103.0149612,81.4574,78.7878,86.8193,91413.03363,90892.29864,17933.9043,,1
103.0149416,57,,103.0154362,13119,4.800920433,4.800920433,,103.0149078,103.0149765,90.8398,86.8193,103.29,124504.7983,123513.1732,13119.65234,,1
103.0150252,74,,103.0154414,8186,4.040398138,4.040398138,,103.0149536,103.0150604,74.7909,72.296,78.7878,48173.93419,47813.15753,16895.82617,,1
103.0191124,13781,,103.0154979,16895,-35.08617282,#N/A,,103.0190735,103.019165,69.4534,65.1628,72.296,44621.16975,44615.46319,13782.44434,,1
103.0205932,27,,103.0195882,13781,-9.756009546,-9.756009546,,103.0205231,103.0206223,437.625,431.597,443.467,181161.9097,168287.0083,47644.06641,,1
103.0212903,161,,103.0210507,27,-2.326205993,-2.326205993,,103.0212784,103.0213089,82.7537,78.7878,92.1839,1565663.055,1556322.877,152602.2969,,1
103.0212957,155,,103.0217705,155,4.608869213,4.608869213,,103.0212784,103.0213089,74.7909,69.4534,78.7878,734436.5132,728519.937,146751.9375,,1
103.0383344,189,,103.0217768,161,-160.6934697,#N/A,,103.0383224,103.038353,81.4574,66.5575,93.5269,16195088.26,15758957.56,1555108.75,,1
103.038347,181,,103.0388193,160,4.583768272,4.583768272,,103.0383453,103.0383606,74.7909,69.4534,78.7878,6007159.876,5842861.059,1487381.875,,1
103.0747677,24,,103.038821,153,-348.7439342,#N/A,,103.0746994,103.0748291,73.4959,68.0904,78.7878,170973.988,150983.2317,45020.77344,,1
103.9616622,287,,103.0752422,25,-8526.412267,#N/A,,103.961647,103.9616852,546.652,544.107,550.487,723977.1292,723355.1861,203699.5,,1
104.0158528,88,,103.9620728,287,-517.0368406,#N/A,,104.0158081,104.0158768,240.865,234.759,243.956,157087.6335,155868.3994,24896.46484,,1
104.0158534,86,,104.0163399,76,4.678001519,4.678001519,,104.0158005,104.0159073,248.422,243.956,254.5,182986.0907,181616.8132,24223.51563,,1
104.0221837,86,,104.0163415,78,-56.1625976,#N/A,,104.0221558,104.0222092,82.7537,78.7878,86.8193,224421.726,223306.8921,28587.31055,,1
104.0222065,74,,104.0226768,73,4.521383414,4.521383414,,104.0221405,104.0222778,74.7909,70.8255,78.7878,120292.7067,119345.3681,24610.24414,,1
104.0237,108273,,104.0226929,63,-9.681250619,-9.681250619,,104.0237,104.0239,675.116,671.221,677.831,207872.1,207866.8,108273.9,,1
104.0237,18,,104.0241728,18,4.544897855,4.544897855,,104.0237,104.0238,1646.37,1640.9,1651.85,439512.9,418482.8,95141.11,,1
104.0416534,79,,104.0421476,77,4.74973213,4.74973213,,104.0415726,104.0416946,82.7537,78.7878,88.1191,369896.2599,363080.928,67509.5,,1
104.0416707,75,,104.0421523,73,4.62886396,4.62886396,,104.0416107,104.041748,74.7909,69.4534,78.7878,259134.9906,253169.5941,64366.82813,,1
104.0699576,2823,,104.0704416,2823,4.650921525,4.650921525,,104.06987,104.0700226,70.8255,66.5575,73.4959,13407.785,13402.23428,2824.436523,,1
104.9457352,58,,104.9462105,58,4.528886868,4.528886868,,104.9457092,104.9457932,508.977,502.317,511.547,195663.3809,193798.7864,47935.95313,,1
105.0155679,17,,105.0160521,16,4.611394985,4.611394985,,105.0155029,105.0157394,70.8255,63.7664,74.7909,139961.5478,137858.6228,21351.00195,,1
105.0176,3214,,105.0181019,150,4.779119462,4.779119462,,105.0176,105.0177,1782.44,1778.2,1785.08,12033.16,12027.65,3215.254,,1
105.0176056,150,,105.0181043,93,4.748883457,4.748883457,,105.017601,105.0176239,82.7537,78.7878,88.1191,2903182.05,2851416.762,765086.0625,,1
105.0176234,93,,105.0181204,3214,4.732924723,4.732924723,,105.0176086,105.0176392,74.7909,69.4534,78.7878,1650261.007,1598478.522,477999.8125,,1
105.0241,28,,105.0244602,27,3.429688443,3.429688443,,105.0239,105.0243,1215.17,1212.59,1219.05,265454.9,262058.7,65379.29,,1
105.0248,5964,,105.0251585,5964,3.41335058,3.41335058,,105.0247,105.0249,1323.52,1319.54,1326.16,23449.77,23444.48,5964.959,,1
105.036,151,,105.0364019,93,3.826522202,3.826522202,,105.036,105.0361,768.391,762.046,773.557,45555595,44017119,10627420,,1
105.036,131,,105.0364031,34,3.838126985,3.838126985,,105.036,105.036,831.525,826.471,837.836,92931165,91087084,20229384,,1
105.036,90,,105.0364051,78,3.85690767,3.85690767,,105.036,105.036,886.907,880.449,892.006,48857120,46826146,13956999,,1
105.036,108,,105.0364643,38,4.420362723,4.420362723,,105.036,105.036,929.382,924.285,934.456,80776911,78068893,23050128,,1
105.036,109,,105.0364665,108,4.441437336,4.441437336,,105.036,105.0361,963.945,958.834,967.796,71549909,68822911,23292308,,1
105.036,77,,105.0364777,166,4.547683547,4.547683547,,105.036,105.036,1027.58,1022.53,1032.72,54542617,49633993,20304136,,1
105.0361,58,,105.0364786,48,3.604161703,3.604161703,,105.0361,105.0361,997.715,991.021,1001.72,55911734,50801060,15287307,,1
105.0361,38,,105.0364794,109,3.611755625,3.611755625,,105.0361,105.0361,1053.84,1048.53,1060.26,46166980,40791327,10154047,,1
105.0361,47,,105.0364811,58,3.627937328,3.627937328,,105.0361,105.0361,1081.21,1075.94,1087.82,66258896,60606832,12653653,,1
105.0361,53,,105.0364819,53,3.63542483,3.63542483,,105.0361,105.0361,1110.08,1104.79,1115.38,70156256,65054948,14021971,,1
105.0361,54,,105.0364864,58,3.678581202,3.678581202,,105.0361,105.0361,1141.75,1136.58,1148.32,77201841,71616384,14304699,,1
105.0361,64,,105.036491,33,3.722871451,3.722871451,,105.0361,105.0361,1176.91,1171.72,1183.47,90934640,85344425,16891096,,1
105.0361,58,,105.0364965,54,3.775087813,3.775087813,,105.0361,105.0361,1215.17,1208.65,1221.84,84870353,78657793,15309118,,1
105.0361,49,,105.036507,65,3.87473798,3.87473798,,105.0361,105.0361,1257.47,1252.16,1263.98,88355023,82731505,13043696,,1
105.0361,32,,105.0365079,50,3.883238858,3.883238858,,105.036,105.0361,1306.37,1299.72,1314.28,72763160,65961999,8782848,,1
105.0361,32,,105.036509,33,3.894038326,3.894038326,,105.036,105.0361,1362.3,1356.9,1370.16,65628043,59382512,8757360,,1
105.047,18174,,105.047438,18174,4.169399888,4.169399888,,105.0469,105.0472,1358.21,1354.26,1360.83,43670.39,43665.13,18175.24,,1
105.0472,39061,,105.0475963,39061,3.772433611,3.772433611,,105.0471,105.0474,1053.84,1051.15,1057.64,150571.5,150566.3,39061.57,,1
105.0479,18787,,105.054496,1352,62.79035668,#N/A,,105.0479,105.0479,1249.53,1245.44,1252.16,50360.81,50355.43,18788.1,,1
105.0540017,32,,105.0545013,23,4.755846583,4.755846583,,105.053978,105.0540161,144.444,138.596,150.275,510607.9871,486716.7054,52510.26953,,1
105.0540161,1428,,105.0545023,30,4.62799084,4.62799084,,105.0540009,105.0540237,72.296,66.5575,77.5303,11126536.74,11104090.1,2298509.5,,1
105.054018,24,,106.0359602,185,9347.022331,#N/A,,105.0539932,105.0540466,350.905,345.011,357.011,263035.7629,238487.8238,40751.92578,,1
106.0356,483530,,106.0359881,985531,3.660545345,3.660545345,,106.0356,106.0357,767.138,762.046,772.271,2164745,2164735,483530.6,,1
106.0356,985531,,106.0360166,95,3.928910262,3.928910262,,106.0355,106.0356,832.796,827.742,837.836,5258457,5258449,985532.4,,1
106.0356,887022,,106.036038,654064,4.130286668,4.130286668,,106.0355,106.0356,886.907,881.791,892.006,2442623,2442613,887022.7,,1
106.0356,95,,106.036039,19,4.140498342,4.140498342,,106.0355,106.0357,1027.58,1023.83,1031.41,2321250,2287775,1100060,,1
106.0356,844234,,106.0360438,25,4.185444605,4.185444605,,106.0356,106.0357,1176.91,1171.72,1183.47,4655811,4655798,844235,,1
106.0356,23,,106.0360468,15,4.213596349,4.213596349,,106.0356,106.0357,1257.47,1252.16,1263.98,4698242,4501752,701879,,1
106.0356,16,,106.0360469,483530,4.214247441,4.214247441,,106.0356,106.0356,1363.61,1356.9,1368.86,3404314,3205496,497030,,1
106.0357,24,,106.0360631,52,3.424091858,3.424091858,,106.0356,106.0357,1215.17,1208.65,1221.84,4356921,4139849,752663.4,,1
106.0393,173,,106.0360637,23,-30.5202532,#N/A,,106.0393,106.0394,831.525,829.037,836.563,2412645,2405501,737836.2,,1
106.0393,37,,106.0360656,16,-30.50213324,#N/A,,106.0393,106.0394,886.907,881.791,892.006,1860887,1801284,578149.4,,1
106.0394,30,,106.0397138,36,2.95905437,2.95905437,,106.0393,106.0394,768.391,762.046,773.557,1662594,1594651,380154.7,,1
106.0394,24,,106.0397493,737835,3.294086981,3.294086981,,106.0393,106.0394,929.382,924.285,934.456,2731441,2590455,858906.8,,1
106.0394,16,,106.0397723,20,3.510634773,3.510634773,,106.0393,106.0395,963.945,958.834,969.095,2545952,2357748,704406.2,,1
106.0394,69,,106.0397916,14,3.692900026,3.692900026,,106.0394,106.0394,996.328,985.875,1006.98,2372102,2315452,476196.5,,1
106.0394,20,,106.0397924,18,3.700079442,3.700079442,,106.0393,106.0394,1053.84,1048.53,1058.95,1737333,1535508,340719.5,,1
106.0394,22,,106.0397938,19,3.7141663,3.7141663,,106.0394,106.0395,1081.21,1075.94,1087.82,2283549,2120143,385696.6,,1
106.0394,23,,106.0397974,41,3.747749657,3.747749657,,106.0394,106.0394,1110.08,1106.1,1115.38,2340243,2222152,485080.7,,1
106.0394,13,,106.0398001,13,3.772906335,3.772906335,,106.0394,106.0394,1141.75,1136.58,1148.32,2576717,2250725,435880.9,,1
106.0394,40,,106.0398037,18,3.807267902,3.807267902,,106.0394,106.0394,1176.91,1170.45,1183.47,3259391,3204861,632261.6,,1
106.0394,14,,106.0398038,20,3.808275575,3.808275575,,106.0394,106.0394,1215.17,1209.96,1221.84,3117145,2881581,547867.8,,1
106.0407668,253,,106.0398073,16,-9.04832931,-9.04832931,,106.0407333,106.0408096,191.402,184.744,204.302,1755522.272,1751757.024,141163.0156,,1
106.0407749,269,,106.0398118,28,-9.082331986,-9.082331986,,106.040741,106.0408096,183.452,182.154,187.427,805075.5225,803891.1898,150028.5,,1
106.0407801,212,,106.0412686,259,4.606944014,4.606944014,,106.0407639,106.0408325,176.703,171.01,182.154,996839.3587,994586.6784,117903.3828,,1
106.0408554,1231,,106.0412796,276,4.000923207,4.000923207,,106.0408478,106.040863,240.865,236.253,243.956,6982.145324,6975.982924,1232.387939,,1
106.0423,31611,,106.0412859,216,-9.563215198,-9.563215198,,106.0422,106.0424,1176.91,1173.02,1179.48,94337.41,94332.24,31612.42,,1
106.0573672,165,,106.0413474,1231,-151.0485249,#N/A,,106.0573502,106.0573807,72.296,66.5575,77.5303,465825.2117,463009.3601,91145.05469,,1
106.9492853,1947,,106.0427149,31611,-8476.638575,#N/A,,106.9491959,106.9493713,350.905,346.452,354.024,8326.522995,8320.465395,1947.717041,,1
106.9613934,588,,106.0578551,95,-8447.331865,#N/A,,106.9613724,106.9614029,349.421,342.034,357.011,2830815.688,2823656.583,411755.6875,,1
106.9977897,2886,,106.9497878,1947,-448.6249733,#N/A,,106.9977264,106.9979324,460.526,457.74,464.805,12803.02414,12797.37214,2886.8396,,1
107.0152,1141066,,106.9618999,588,-498.0611881,#N/A,,107.0152,107.0153,832.796,829.037,836.563,4650126,4650120,1141067,,1
107.0152,248,,107.0156803,618473,4.488154029,4.488154029,,107.0152,107.0153,1790.22,1785.08,1798.07,7578135,7543711,768772.9,,1
107.0153,27,,107.0157164,260,3.89111015,3.89111015,,107.0153,107.0153,768.391,762.046,773.557,2258376,2175145,466636.3,,1
107.0153,618473,,107.0157478,43,4.184187317,4.184187317,,107.0152,107.0153,886.907,880.449,892.006,2262233,2262220,618474.2,,1
107.0153,17,,107.0157501,12,4.205813075,4.205813075,,107.0153,107.0154,1305.08,1299.72,1311.64,507180.3,447055.9,66209.83,,1
107.0154,11,,107.0157545,17,3.312874997,3.312874997,,107.0154,107.0154,1082.66,1075.94,1087.82,684107.9,613148.6,129462.5,,1
107.0154,26,,107.0157567,26,3.332917571,3.332917571,,107.0153,107.0154,1110.08,1103.48,1115.38,766132.1,659164.5,132473.8,,1
107.0154,11,,107.0157608,27,3.371789406,3.371789406,,107.0153,107.0154,1215.17,1209.96,1220.38,568603.2,497555.2,102632.3,,1
107.0328,91,,107.0157647,13,-159.1595712,#N/A,,107.0328,107.0329,886.907,881.791,892.006,1791546,1777006,527216.5,,1
107.0329,304344,,107.0332606,91,3.368747133,3.368747133,,107.0329,107.0329,767.138,763.299,773.557,1460261,1460250,304345.4,,1
107.0329,794089,,107.0333195,64,3.919567796,3.919567796,,107.0328,107.0329,1027.58,1023.83,1031.41,1780274,1780268,794090.3,,1
107.0329,64,,107.0333229,25,3.95129378,3.95129378,,107.0329,107.033,1081.21,1075.94,1086.51,2375713,2333051,473512.6,,1
107.0329,31,,107.0333274,34,3.993627305,3.993627305,,107.0329,107.033,1110.08,1104.79,1115.38,2683845,2445961,536636.4,,1
107.0329,33,,107.0333293,304344,4.011310223,4.011310223,,107.0329,107.033,1141.75,1136.58,1148.32,3027110,2766649,561555.4,,1
107.0329,38,,107.0333298,22,4.015949488,4.015949488,,107.0329,107.0329,1176.91,1171.72,1183.47,3437043,2940539,686314.9,,1
107.0329,33,,107.0333418,15,4.127266084,4.127266084,,107.0329,107.0329,1215.17,1208.65,1221.84,3379729,2827289,608040.6,,1
107.0329,29,,107.0333446,35,4.153800925,4.153800925,,107.0329,107.0329,1257.47,1252.16,1263.98,3337238,2817331,535661.4,,1
107.0329,16,,107.0333447,29,4.154960223,4.154960223,,107.0329,107.033,1307.67,1295.84,1318.22,3106797,2665511,313088.5,,1
107.0329,17,,107.0391357,11247,58.259555,#N/A,,107.0329,107.0329,1363.61,1356.9,1370.16,2503438,2215833,333176.9,,1
107.0387,11247,,107.0407254,57119,18.92204521,#N/A,,107.0387,107.0388,1215.17,1211.29,1219.05,63225.04,63218.57,11247.68,,1
107.0403,57119,,107.0407492,21,4.196726177,4.196726177,,107.0403,107.0404,1141.75,1137.89,1145.58,245918.9,245912.5,57120.22,,1
107.0403,35168,,107.0408225,14,4.881080416,4.881080416,,107.0403,107.0405,1306.37,1301.02,1315.58,282522.1,282508.9,35168.52,,1
107.0404,35,,107.0408225,43,3.947410025,3.947410025,,107.0403,107.0405,1176.91,1173.02,1182.15,327703.3,321895.1,73301.83,,1
107.0404,21,,107.0408259,21,3.978731544,3.978731544,,107.0403,107.0405,1257.47,1252.16,1265.29,284102.7,263027.1,56100.87,,1
107.0404,21,,107.0408606,29,4.303273633,4.303273633,,107.0403,107.0404,1363.61,1356.9,1370.16,236109.5,226608.6,34964.26,,1
107.0405,29,,107.048915,45306,78.6154832,#N/A,,107.0403,107.0405,1215.17,1208.65,1221.84,309542.2,303468.3,50234.11,,1
107.0485268,16,,107.0489413,24209,3.8725498,3.8725498,,107.0484848,107.0486145,427.248,421.649,433.214,1006770.938,788206.6397,191064.875,,1
107.0485408,328,,107.0489663,26283,3.974707322,3.974707322,,107.0485229,107.0485687,330.143,322.676,337.552,26320078.85,26045188.23,3599519.5,,1
107.0485415,96,,107.0489703,29813,4.005952553,4.005952553,,107.0485229,107.0485611,190.05,168.139,204.302,22395017.38,21764153.11,1069677.625,,1
107.0485465,86,,107.0489827,29653,4.074569801,4.074569801,,107.0485306,107.0485611,176.703,171.01,182.154,6677667.577,6467059.662,952404.6875,,1
107.0779748,1628,,107.0489995,191064,-270.600738,#N/A,,107.0778885,107.0781097,330.143,325.65,333.036,8401.985954,8396.077154,1628.766724,,1
107.9567,42,,107.049008,54741,-8407.926681,#N/A,,107.9566,107.9568,681.608,676.423,689.106,1794178,1754480,339945.9,,1
107.9567,21,,107.0490103,29191,-8407.905258,#N/A,,107.9567,107.9567,694.131,689.106,703.055,1600543,1552913,174844.3,,1
107.9608164,7093,,107.049015,32507,-8445.669458,#N/A,,107.9606934,107.9608536,349.421,342.034,357.011,43881.53755,43868.05825,7093.677734,,1
107.964754,9060,,107.0490244,93923,-8481.746374,#N/A,,107.9647064,107.9647903,349.421,343.528,357.011,63914.7188,63902.73391,9061.145508,,1
108.0049885,60,,107.0490246,33386,-8851.108754,#N/A,,108.0048904,108.005043,78.7878,54.8626,96.252,600318.8503,592778.1058,35017.86719,,1
108.0217284,5054,,107.049026,39385,-9004.692603,#N/A,,108.0217133,108.0217514,82.7537,78.7878,86.8193,28755.93606,28749.24315,5055.021973,,1
108.0313076,1033,,107.0490269,34348,-9092.55564,#N/A,,108.0312729,108.0313263,443.467,440.444,448.011,5417.733314,5411.679714,1033.607178,,1
108.0411199,143181,,107.0490322,39374,-9182.501768,#N/A,,108.0411148,108.0411301,82.7537,80.123,88.1191,1010586.312,1010576.984,143182.0156,,1
108.0411414,169835,,107.0490384,47117,-9182.641398,#N/A,,108.0411301,108.041153,74.7909,69.4534,80.123,1405266.154,1405255.485,169836.2188,,1
